"Area","Country code","Year","Area type","Continent","Ember region","EU","OECD","G20","G7","Category","Subcategory","Variable","Unit","Value","YoY absolute change","YoY % change"
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Clean","%",51.08,NA,NA
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Fossil","%",48.92,NA,NA
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Gas and Other Fossil","%",47.98,NA,NA
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Hydro, Bioenergy and Other Renewables","%",44.35,NA,NA
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Renewables","%",44.44,NA,NA
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Wind and Solar","%",0.09,NA,NA
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Clean","TWh",41.45,-2.13,-4.89
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Fossil","TWh",39.7,-3.21,-7.48
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Gas and Other Fossil","TWh",38.94,-2.69,-6.46
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Hydro, Bioenergy and Other Renewables","TWh",35.99,-1,-2.7
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Renewables","TWh",36.06,-0.98,-2.65
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Aggregate fuel","Wind and Solar","TWh",0.07,0.02,40
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Bioenergy","%",0.62,NA,NA
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Coal","%",0.94,NA,NA
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Gas","%",47.11,NA,NA
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Hydro","%",43.73,NA,NA
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Nuclear","%",6.64,NA,NA
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Other Fossil","%",0.87,NA,NA
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Other Renewables","%",0,NA,NA
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Solar","%",0,NA,NA
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Wind","%",0.09,NA,NA
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Bioenergy","TWh",0.5,0.16,47.06
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Coal","TWh",0.76,-0.52,-40.63
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Gas","TWh",38.23,-2.46,-6.05
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Hydro","TWh",35.49,-1.16,-3.17
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Nuclear","TWh",5.39,-1.15,-17.58
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Other Fossil","TWh",0.71,-0.23,-24.47
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Other Renewables","TWh",0,0,NA
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Solar","TWh",0,0,NA
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Fuel","Wind","TWh",0.07,0.02,40
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity generation","Total","Total Generation","TWh",81.15,-5.34,-6.17
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Electricity imports","Electricity imports","Net Imports","TWh",5.84,4.08,231.82
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Aggregate fuel","Clean","mtCO2",1.03,-0.01,-0.96
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Aggregate fuel","Fossil","mtCO2",19.85,-1.8,-8.31
"Argentina","ARG",2002,"Country","South America","Latin America and Caribbean",0,0,1,0,"Power sector emissions","Aggregate fuel","Gas and Other Fossil","mtCO2",19.23,-1.37,-6.65
